Nama Stasiun ,WMO ID,Tanggal,Suhu Minimum,Suhu Maksimum,Suhu Rata-rata,Kelembaban Rata-rata,Curah Hujan,Lama Penyinaran,Kecepatan Angin Rata-rata,Kecepatan Angin Terbesar,NINO12,NINO3,NINO3.4,NINO4
Stasiun Meteorologi Perak I,96933,12/02/1987,21.6,32,26,89,85.6,6,2,5,0.9909225,0.9291341,1.058699,0.6512538
Stasiun Meteorologi Perak I,96933,13/02/1987,24.6,30.6,26.4,88,3,5.1,3,6,0.9159941,0.8532826,0.8959279,0.5962822
Stasiun Meteorologi Perak I,96933,14/02/1987,21.5,32,27.9,82,0.1,6.9,3,6,0.821199,0.7211367,0.6851623,0.4641812
Stasiun Meteorologi Perak I,96933,15/02/1987,23,32,27,85,60,3.7,3,4,0.8456928,0.6242279,0.5775196,0.3425259
Stasiun Meteorologi Perak I,96933,16/02/1987,23.1,31,26.7,83,12.3,7.7,3,4,0.8289555,0.6834021,0.7088479,0.3351704
Stasiun Meteorologi Perak I,96933,17/02/1987,24.2,31.6,26.1,88,1.6,5.8,3,7,0.8446544,0.7823886,0.8133572,0.3374861
Stasiun Meteorologi Perak I,96933,18/02/1987,25,30.6,26.5,86,0.8,4.7,3,6,0.952543,0.812943,0.7894223,0.3034994
Stasiun Meteorologi Perak I,96933,19/02/1987,23.6,30.6,27,86,6.8,4.3,3,8,1.032084,0.825845,0.7854379,0.366422
Stasiun Meteorologi Perak I,96933,20/02/1987,23,31.8,26.1,88,15.2,1.2,3,4,1.278742,0.7778584,0.747643,0.3724691
Stasiun Meteorologi Perak I,96933,21/02/1987,24,32.4,26.5,85,2.5,5.8,3,5,1.263006,0.6911352,0.6611309,0.3973699
Stasiun Meteorologi Perak I,96933,22/02/1987,23,31.8,27.8,79,25.7,5.6,3,6,1.083633,0.6326754,0.6181993,0.3566296
Stasiun Meteorologi Perak I,96933,23/02/1987,25,32,28,82,2.4,7.3,3,6,0.9644128,0.5660574,0.5397912,0.3375566
Stasiun Meteorologi Perak I,96933,24/02/1987,23.2,32.2,27.5,90,15.7,6.6,3,8,0.9131259,0.510228,0.4305761,0.2834208
Stasiun Meteorologi Perak I,96933,25/02/1987,24,30.2,26.5,90,0.9,3.9,3,6,1.015471,0.5190294,0.4100803,0.2999079
Stasiun Meteorologi Perak I,96933,26/02/1987,25,30,26.4,84,0,0.6,2,5,1.072885,0.4676198,0.3711023,0.251218
Stasiun Meteorologi Perak I,96933,27/02/1987,25,31.6,28,80,0,6.5,3,5,1.113852,0.5039759,0.3223971,0.1489311
Stasiun Meteorologi Perak I,96933,28/02/1987,24.4,32,28.3,82,0.2,7,3,4,0.9504622,0.5270627,0.3399604,9.84E-02
Stasiun Meteorologi Perak I,96933,01/03/1987,24,33.4,27.4,82,15.8,8,2,6,0.963002,0.4738638,0.4570868,0.1196787
Stasiun Meteorologi Perak I,96933,02/03/1987,24.2,30.6,27.1,84,0.8,4.8,2,4,0.9741503,0.4975711,0.6645382,0.2427059
Stasiun Meteorologi Perak I,96933,03/03/1987,22,31.2,26.1,89,119.5,4.8,2,8,1.097907,0.5697914,0.791491,0.2847113
Stasiun Meteorologi Perak I,96933,04/03/1987,24,31.8,27,86,0,5.6,2,4,1.154702,0.7852535,0.8846245,0.4217107
Stasiun Meteorologi Perak I,96933,05/03/1987,25.2,32.3,27.9,81,0,8,3,4,1.279205,0.8844583,0.8863831,0.4729391
Stasiun Meteorologi Perak I,96933,06/03/1987,24,32,27,86,44.2,4.7,2,3,1.347426,0.9622433,0.9290554,0.592831
Stasiun Meteorologi Perak I,96933,07/03/1987,24.4,31.6,27.2,86,0,0.4,2,6,1.188979,1.015763,0.9396175,0.7112818
Stasiun Meteorologi Perak I,96933,08/03/1987,25,32.4,28.2,78,0,6.7,2,4,1.102391,1.061052,0.9967685,0.833083
Stasiun Meteorologi Perak I,96933,09/03/1987,25,32.4,28.5,80,0,6.6,3,5,1.314507,1.136639,1.030521,0.8503264
Stasiun Meteorologi Perak I,96933,10/03/1987,24,30.8,27.6,82,13.2,1.5,3,5,1.608605,1.212733,1.084322,0.7896397
Stasiun Meteorologi Perak I,96933,11/03/1987,24.5,32,28.7,78,0,5,3,6,1.631737,1.220123,1.101377,0.782765
Stasiun Meteorologi Perak I,96933,12/03/1987,24.5,32.6,28.6,79,0,5,3,4,1.643328,1.296351,1.102806,0.7491184
Stasiun Meteorologi Perak I,96933,13/03/1987,26,32,29.7,76,0,8,2,6,1.525486,1.355787,1.140327,0.7263077
Stasiun Meteorologi Perak I,96933,14/03/1987,25.3,34.2,29,82,0,7.8,3,4,1.55314,1.389643,1.217357,0.7032063
Stasiun Meteorologi Perak I,96933,15/03/1987,24.4,33,29,78,0,5.6,3,6,1.483348,1.424568,1.263296,0.7461792
Stasiun Meteorologi Perak I,96933,16/03/1987,25,31.2,26.4,88,10.3,4,2,4,1.443569,1.272056,1.2321,0.7362548
Stasiun Meteorologi Perak I,96933,17/03/1987,25,32.5,27.8,80,0,7.4,2,4,1.343944,1.119503,1.175313,0.6899049
Stasiun Meteorologi Perak I,96933,18/03/1987,25.2,33,27.6,81,0,8,3,5,1.261057,0.9930149,1.077389,0.5657881
Stasiun Meteorologi Perak I,96933,19/03/1987,25.2,32.2,27.5,80,0,4.5,2,6,1.394385,0.9184164,1.04799,0.5736534
Stasiun Meteorologi Perak I,96933,20/03/1987,24.6,31.4,27.7,80,0,6,3,4,1.514076,0.8955054,0.9477755,0.4601388
Stasiun Meteorologi Perak I,96933,21/03/1987,24.4,30.4,27.1,84,0,0.4,2,3,1.590984,0.8558637,0.8623516,0.3852719
Stasiun Meteorologi Perak I,96933,22/03/1987,25.4,33.8,27.7,80,0,7.2,2,3,1.526274,0.7403135,0.75944,0.4772706
Stasiun Meteorologi Perak I,96933,23/03/1987,23.5,33.8,27.3,85,14.8,6,2,4,1.411033,0.6038117,0.666395,0.6106604
Stasiun Meteorologi Perak I,96933,24/03/1987,24.2,32.4,27,84,16.2,4.6,3,5,1.238269,0.6419734,0.7626888,0.7294455
Stasiun Meteorologi Perak I,96933,25/03/1987,24.6,31,26.3,88,2.7,3,2,4,1.16043,0.662235,0.8212339,0.7256
Stasiun Meteorologi Perak I,96933,26/03/1987,24.4,32.4,28.5,78,1.3,4.7,2,5,1.2306,0.6834801,0.8562357,0.6808561
Stasiun Meteorologi Perak I,96933,27/03/1987,23,32.2,28.4,80,50.2,6.4,2,4,1.211151,0.7708452,0.9291224,0.653321
Stasiun Meteorologi Perak I,96933,28/03/1987,27,32.4,27.6,82,0,6,2,5,1.209541,0.7342412,0.9262074,0.6125625
Stasiun Meteorologi Perak I,96933,29/03/1987,25,31.8,28.6,76,13.7,2.5,2,4,1.12376,0.75405,0.9448825,0.5551361
Stasiun Meteorologi Perak I,96933,30/03/1987,24.5,32.4,27.9,79,5.5,6.4,2,3,1.057154,0.7672434,0.8869169,0.5289324
Stasiun Meteorologi Perak I,96933,31/03/1987,25.4,33,28.6,75,1.3,7.7,3,4,0.9747142,0.7330227,0.7717711,0.5144013
Stasiun Meteorologi Perak I,96933,01/04/1987,25,32.4,29,78,0,7.1,3,7,0.9979673,0.8170591,0.7831684,0.5715935
Stasiun Meteorologi Perak I,96933,02/04/1987,25,32.6,28.5,75,0,8,2,6,1.031367,0.7732679,0.7681015,0.6136835
Stasiun Meteorologi Perak I,96933,03/04/1987,25.8,33,28.7,74,0,7.7,3,5,1.294984,0.7361184,0.7636826,0.6243722
Stasiun Meteorologi Perak I,96933,04/04/1987,25,33,28.7,77,0,7.7,3,4,1.370346,0.7899852,0.8055372,0.6205319
Stasiun Meteorologi Perak I,96933,05/04/1987,25.5,33.2,28.7,76,0,7.3,2,4,1.393269,0.80893,0.780745,0.537001
Stasiun Meteorologi Perak I,96933,06/04/1987,25.5,32.6,27.7,80,0,3.8,3,4,1.369359,0.7738982,0.7148706,0.443865
